Collection,Set,Location,Date,Gear,Time,Duration,Tide,WindSpeed,WindDirection,CloudCover,AirTemp,WaterTemp,Salinity,DO,StartDepth,EndDepth,Remarks,Species,SpNo,ND_Tag,FL,TL,SL,Sex,Maturity,Disposition,Comments,Lat_DECIMAL,Long_DECIMAL,Loc_Desc
20180212,1,BB-FFC,7/13/2018,large gillnet (index),8:32,26,high,8,E,100.00%,,28.7,34.9,5,10,10,,scalloped hammerhead,1,,373,497,,F,well healed umbilical scar,released untagged,,33.0095,-79.4853,Bulls Bay - Five Fathom Creek
20180212,1,BB-FFC,7/13/2018,large gillnet (index),8:32,26,high,8,E,100.00%,,28.7,34.9,5,10,10,,sandbar shark,1,65279,521,649,,F,well healed umbilical scar,tagged and released,,33.0095,-79.4853,Bulls Bay - Five Fathom Creek
20180212,1,BB-FFC,7/13/2018,large gillnet (index),8:32,26,high,8,E,100.00%,,28.7,34.9,5,10,10,,blacktip shark,1,65280,565,717,,F,well healed umbilical scar,tagged and released,,33.0095,-79.4853,Bulls Bay - Five Fathom Creek
20180212,1,BB-FFC,7/13/2018,large gillnet (index),8:32,26,high,8,E,100.00%,,28.7,34.9,5,10,10,,scalloped hammerhead,2,,342,445,304,M,well healed umbilical scar,DOA,,33.0095,-79.4853,Bulls Bay - Five Fathom Creek
20180212,1,BB-FFC,7/13/2018,large gillnet (index),8:32,26,high,8,E,100.00%,,28.7,34.9,5,10,10,,scalloped hammerhead,3,,304,399,,F,well healed umbilical scar,released untagged,,33.0095,-79.4853,Bulls Bay - Five Fathom Creek
20180212,1,BB-FFC,7/13/2018,large gillnet (index),8:32,26,high,8,E,100.00%,,28.7,34.9,5,10,10,,finetooth shark,1,,480,605,,F,well healed umbilical scar,released untagged,,33.0095,-79.4853,Bulls Bay - Five Fathom Creek
20180212,1,BB-FFC,7/13/2018,large gillnet (index),8:32,26,high,8,E,100.00%,,28.7,34.9,5,10,10,,scalloped hammerhead,4,,402,524,361,M,well healed umbilical scar,DOA,,33.0095,-79.4853,Bulls Bay - Five Fathom Creek
20180212,1,BB-FFC,7/13/2018,large gillnet (index),8:32,26,high,8,E,100.00%,,28.7,34.9,5,10,10,,Atlantic sharpnose shark,1,,285,356,,M,well healed umbilical scar,released untagged,,33.0095,-79.4853,Bulls Bay - Five Fathom Creek
20180212,1,BB-FFC,7/13/2018,large gillnet (index),8:32,26,high,8,E,100.00%,,28.7,34.9,5,10,10,,sandbar shark,2,65281,533,652,,M,well healed umbilical scar,tagged and released,,33.0095,-79.4853,Bulls Bay - Five Fathom Creek
20180212,1,BB-FFC,7/13/2018,large gillnet (index),8:32,26,high,8,E,100.00%,,28.7,34.9,5,10,10,,finetooth shark,2,,458,576,,F,well healed umbilical scar,released untagged,,33.0095,-79.4853,Bulls Bay - Five Fathom Creek
20180212,1,BB-FFC,7/13/2018,large gillnet (index),8:32,26,high,8,E,100.00%,,28.7,34.9,5,10,10,,scalloped hammerhead,5,,374,490,332,F,well healed umbilical scar,DOA,,33.0095,-79.4853,Bulls Bay - Five Fathom Creek
20180212,1,BB-FFC,7/13/2018,large gillnet (index),8:32,26,high,8,E,100.00%,,28.7,34.9,5,10,10,,scalloped hammerhead,7,,394,513,350,M,well healed umbilical scar,DOA,,33.0095,-79.4853,Bulls Bay - Five Fathom Creek
